act,data_editie,tip,titlu,categorie,partener,semnat,editie,suport_bugetar,link
HG1099/1997,27.11.1997,Hotărâre,"Hotărâre Pentru modificarea Hotărîrii Guvernului Republicii Moldova nr. 307 din 16 mai 1995 ""Privind proiectul de hotărîre a Parlamentului Republicii Moldova ""Despre ratificarea Acordului de împrumut dintre concernul ""Siemens""(Germania) şi Guvernul Republicii Moldova""",Împrumut,Siemens (Germania),,legis.md,,https://www.legis.md/cautare/getResults?doc_id=75566&lang=ro
HP1348/1997,15.10.1997,Hotărâre,Hotărâre a Parlamentului privind ratificarea Acordului de credit pentru dezvoltare (Creditul doi pentru ajustări structurale) dintre Republica Moldova şi Asociaţia Internaţională pentru Dezvoltare şi Acordului de împrumut (Împrumutul doi pentru ajustări structurale) dintre Republica Moldova şi Banca Internaţională pentru Reconstrucţie şi Dezvoltare,Împrumut,BIRD / AID,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=61529&lang=ro
HP1294/1997,23.07.1997,Hotărâre,"Hotărâre a Parlamentului cu privire la ratificarea Acordului de împrumut pentru finanţarea proiectului de aprovizionare cu apă potabilă a regiunii de sud a Moldovei, încheiat între „Oguzbank” (Republica Moldova) şi „Export Credit Bank” (Turcia), cu garanţia Guvernului Republicii Moldova",Împrumut,Turcia,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=62428&lang=ro
HP1266/1997,16.07.1997,Hotărâre,Hotărâre a Parlamentului cu privire la ratificarea Memorandumului de înţelegere dintre Republica Moldova şi Regatul Ţărilor de Jos referitor la Programul Regatului Ţărilor de Jos pentru cooperare cu Moldova pe anul 1997,Asistență tehnică,Olanda,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=61524&lang=ro
HP1212/1997,19.06.1997,Hotărâre,Hotărâre a Parlamentului pentru ratificarea Acordului dintre Republica Moldova şi Banca Europeană pentru Reconstrucţie şi Dezvoltare privind garanţia de stat pentru realizarea proiectului terminalului petrolier Giurgiuleşti,Asistență tehnică,BERD,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=62265&lang=ro
HP1019/1996,03.12.1996,Hotărâre,"Hotărâre a Parlamentului pentru modificarea anexei la Hotărîrea Parlamentului pentru ratificarea Acordului de împrumut dintre Republica Moldova şi Commerzbank A.G. (Frankfurt-am-Main, Germania)",Împrumut,Bancă comercială străină,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=60809&lang=ro
HP1016/1996,03.12.1996,Hotărâre,Hotărâre a Parlamentului pentru ratificarea Acordului de credit (Proiectul energetic) dintre Republica Moldova şi Banca Internaţională pentru Reconstrucţie şi Dezvoltare,Împrumut,BIRD,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=60801&lang=ro
HP977/1996,24.07.1996,Hotărâre,"Hotărâre a Parlamentului pentru ratificarea garanţiei Guvernului Republicii Moldova privind Acordul de credit dintre Banca ""AKA"" (Germania) şi B.C.A.""Moldindconbank""",Împrumut,Bancă comercială străină,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=60777&lang=ro
HP974/1996,24.07.1996,Hotărâre,Hotărâre a Parlamentului pentru ratificarea Acordului de împrumut (primul proiect agricol) dintre Republica Moldova şi Banca Internaţională pentru Reconstrucţie şi Dezvoltare,Împrumut,BIRD,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=60773&lang=ro
HP962/1996,24.07.1996,Hotărâre,"Hotărâre a Parlamentului pentru ratificarea Acordului de împrumut dintre Comunitatea Europeană şi Republica Moldova şi Banca Naţională a Moldovei, precum şi a Memorandumului de înţelegere dintre Comunitatea Europeană şi Republica Moldova",Împrumut,UE,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=60760&lang=ro
HP930/1996,12.07.1996,Hotărâre,"Hotărâre a Parlamentului pentru ratificarea Acordului de împrumut dintre Republica Moldova şi Commerzbank A.G. (Frankfurt-am-Main, Germania)",Împrumut,Bancă comercială străină,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=60822&lang=ro
HP881/1996,19.06.1996,Hotărâre,"Hotărâre a Parlamentului privind ratificarea Acordului de creditare dintre Societatea pe Acţiuni ""Tirex-Petrol"" şi Banca ""Drezdner Bank A.G."" (Francfurt-am, Germania), Garanţiei Stand BY şi privind utilizarea mijloacelor creditare",Împrumut,Bancă comercială străină,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=60510&lang=ro
HP880/1996,19.06.1996,Hotărâre,Hotărâre a Parlamentului pentru ratificarea Acordului de credit (Primul proiect de dezvoltare a sectorului privat) dintre Republica Moldova şi Banca Internaţională pentru Reconstrucţie şi Dezvoltare,Împrumut,BIRD,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=60506&lang=ro
HP875/1996,12.06.1996,Hotărâre,Hotărâre a Parlamentului pentru ratificarea Memorandumului de finanţare dintre Guvernul Republicii Moldova şi Comisia Comunităţilor Europene pentru promovarea cooperării tehnice,Asistență financiară,UE,,legis.md,,https://www.legis.md/cautare/getResults?doc_id=60503&lang=ro
